Sample ID	Spiked pathogen species	Spiked pathogen subspecies	Spiked pathogen strains	Species found in PathoGFAIR Taxonomy profiling	Salmonella enterica Subspecies found in PathoGFAIR Taxonomy profiling	Salmonella enterica Strains found in PathoGFAIR gene-based pathogen identification (VF genes product)	Relative abundance (%) of the expected subspecies in PathoGFAIR Taxonomy profiling	PathoGFAIR species result	PathoGFAIR subspecies result	Species found by IDseq (CZID)	Subspecies found by IDseq (CZID)	IDseq (CZID) species result	IDseq (CZID) subspecies result
Spike4Barcode05	Salmonella enterica	Salmonella enterica subsp. houtenae	Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica	Salmonella enterica subsp houtenae (96%), Salmonella enterica subsp. houtenae (0%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (4%), other salmonella enterica (0%)		64	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike4Barcode06	Salmonella enterica	Salmonella enterica subsp. houtenae	Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica	Salmonella enterica subsp. enterica (100%),  Salmonella enterica subsp. houtenae (0%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (0%)		0	True Positive	False Positive	Salmonella enterica		True Positive	False Negative
Spike4Barcode07	Salmonella enterica	Salmonella enterica subsp. houtenae	Salmonella enterica subsp. houtenae (DSM 9221)	Methylobacterium radiotolerans			0	False Positive	False Negative	Saccharomyces cerevisiae		False Positive	False Negative
Spike4Barcode08	Salmonella enterica	Salmonella enterica subsp. houtenae	Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica	Salmonella enterica subsp. enterica (75%),  Salmonella enterica subsp. houtenae (0%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (25%)		0	True Positive	False Positive	Salmonella enterica		True Positive	False Negative
Spike4Barcode09	Salmonella enterica	Salmonella enterica subsp. salamae	Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica	Salmonella enterica subsp. enterica (35%),  Salmonella enterica subsp. houtenae (12%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (44%), other salmonella enterica (4%)		0	True Positive	False Positive	Salmonella enterica		True Positive	False Negative
Spike4Barcode10	Salmonella enterica	Salmonella enterica subsp. salamae	Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica	Salmonella enterica subsp. enterica (22%),  Salmonella enterica subsp. houtenae (33%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (33%), other salmonella enterica (11%)		0	True Positive	False Positive	Salmonella enterica		True Positive	False Negative
Spike4Barcode11	Salmonella enterica	Salmonella enterica subsp. salamae	Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica	Salmonella enterica subsp. enterica (33%),  Salmonella enterica subsp. houtenae (0%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (33%), other salmonella enterica (33%)		0	True Positive	False Positive	Salmonella enterica		True Positive	False Negative
Spike4Barcode12	Salmonella enterica	Salmonella enterica subsp. salamae	Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica	Salmonella enterica subsp. enterica (100%),  Salmonella enterica subsp. houtenae (0%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (0%)		0	True Positive	False Positive	Salmonella enterica		True Positive	False Negative
Spike4Barcode13	Salmonella enterica	Salmonella enterica subsp. houtenae, Salmonella enterica subsp. salamae, Salmonella enterica subsp. enterica	Salmonella enterica subsp. houtenae (DSM 9221), Salmonella enterica subsp. salamae (DSM 9220), Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica + Salmonella enterica subsp houtenae (75%), Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (8%), other salmonella enterica (12%) 		75	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike4Barcode14	Salmonella enterica	Salmonella enterica subsp. houtenae, Salmonella enterica subsp. salamae, Salmonella enterica subsp. enterica	Salmonella enterica subsp. houtenae (DSM 9221), Salmonella enterica subsp. salamae (DSM 9220), Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica + Salmonella enterica subsp houtenae (80%), Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (2%), other salmonella enterica (14%)		80	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike4Barcode15	Salmonella enterica	Salmonella enterica subsp. houtenae, Salmonella enterica subsp. salamae, Salmonella enterica subsp. enterica	Salmonella enterica subsp. houtenae (DSM 9221), Salmonella enterica subsp. salamae (DSM 9220), Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica + Salmonella enterica subsp houtenae (79%), Salmonella enterica subsp. VII (6%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (14%)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	79	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike4Barcode16	Salmonella enterica	Salmonella enterica subsp. houtenae, Salmonella enterica subsp. salamae, Salmonella enterica subsp. enterica	Salmonella enterica subsp. houtenae (DSM 9221), Salmonella enterica subsp. salamae (DSM 9220), Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica + Salmonella enterica subsp houtenae (78%), Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (16%)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	78	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
							47.30434783						
