key	S46-Mix(5:5:5): 5x S.Houtenea + 5x S.enterica + 5x S.Salamae	S45-Mix(10:1:1): 10x S.Houtenea + 1x S.enterica + 1x S.Salamae	S31-S.Enterica(1:E+3 dilution step)	S27-S.Salamae+enrichment	S26-S.Houtenae+enrichment	S25-S.Enterica+enrichment	S20-S.Houtenae+enrichment+Chicken Depletion	S15-S.Salamae+enrichment	S14-S.Houtenae+enrichment	S13-S.Enterica+enrichment	S09-S.Salamae+enrichment	S08-S.Houtenae+enrichment	S07-S.Enterica+enrichment	S02-S.Houtenae+enrichment	S01-S.Enterica+enrichment
ssaC	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
ssaD	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
ssaE	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
ssaG	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
ssaH	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
ssaI	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
ssaJ	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
ssaK	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
ssaL	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
ssaM	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
ssaN	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1
ssaO	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1
ssaP	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1
ssaQ	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1
ssaR	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1
ssaS	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1
ssaT	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1
ssaU	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1
ssaV	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1
sscA	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
sscB	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
sseA	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
sseB	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
sseC	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
sseD	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
sseE	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
sseF	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
sseG	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1
sseI/srfH	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
sseJ	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1
sseK1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1
sseK2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
sseL	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1
sspH1	0	0	0	0	2	0	0	2	2	0	2	2	0	2	0
sspH2	0	0	0	2	4	0	0	4	4	1	4	4	1	2	1
steA	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1
steB	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1
steC	0	0	0	1	1	0	0	1	1	3	0	1	1	1	1
tssC-5	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ureB	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
ureG	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
vipB/mglB	0	0	0	1	1	0	0	1	1	0	1	1	0	1	0
waaA	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
waaC	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
waaF	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
waaG	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
waaP	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
wbaP/rfbP	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
xcpA/pilD	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
yagV/ecpE	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
yagW/ecpD	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
yagX/ecpC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
yagY/ecpB	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
yagZ/ecpA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ykgK/ecpR	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
